fuel category,year,nerc,month,generation (mwh)
Coal,2006,NPCC,4,2552139.77308
Coal,2006,NPCC,5,2668220.477180001
Coal,2006,NPCC,6,3232097.72576
Coal,2006,NPCC,7,3749215.05294
Coal,2006,NPCC,8,3660381.359040001
Coal,2006,NPCC,9,2886607.14353
Coal,2006,NPCC,10,2687609.39241
Coal,2006,NPCC,11,3012725.28291
Coal,2006,NPCC,12,3287476.6007999997
Coal,2006,RFC,1,50535719.56062002
Coal,2006,RFC,2,48384799.02231997
Coal,2006,RFC,3,50194813.495470025
Coal,2006,RFC,4,43006087.51209003
Coal,2006,RFC,5,44870611.30020999
Coal,2006,RFC,6,49280213.27572
Coal,2006,RFC,7,55063922.128100015
Coal,2006,RFC,8,55895444.08709996
Coal,2006,RFC,9,44227898.77438998
Coal,2006,RFC,10,47018599.164789975
Coal,2006,RFC,11,46218071.14718002
Coal,2006,RFC,12,49439421.96833999
Coal,2006,SERC,1,53368846.62217001
Coal,2006,SERC,2,51852848.19229998
Coal,2006,SERC,3,51079819.93771
Coal,2006,SERC,4,45742013.98951003
Coal,2006,SERC,5,52746126.33661001
Coal,2006,SERC,6,56444554.60510003
Coal,2006,SERC,7,60658336.14643001
Coal,2006,SERC,8,62108849.90657
Coal,2006,SERC,9,53166391.57810997
Coal,2006,SERC,10,51748301.08326998
Coal,2006,SERC,11,50898798.490169995
Coal,2006,SERC,12,55708957.51224
Coal,2006,SPP,1,7692578.81037
Coal,2006,SPP,2,6103631.38542
Coal,2006,SPP,3,5398923.452620001
Coal,2006,SPP,4,5512569.85927
Coal,2006,SPP,5,6769368.656140001
Coal,2006,SPP,6,8130305.7189299995
Coal,2006,SPP,7,8518868.397979999
Coal,2006,SPP,8,8345270.3963399995
Coal,2006,SPP,9,7472722.775169999
Coal,2006,SPP,10,7573940.38435
Coal,2006,SPP,11,7891631.018569999
Coal,2006,SPP,12,7916336.68327
Coal,2006,TRE,1,9406079.0
Coal,2006,TRE,2,8055029.0
Coal,2006,TRE,3,8182924.0
Coal,2006,TRE,4,7441633.0
Coal,2006,TRE,5,8829271.0
Coal,2006,TRE,6,9365015.0
Coal,2006,TRE,7,10441993.0
Coal,2006,TRE,8,10377356.0
Coal,2006,TRE,9,9712610.0
Coal,2006,TRE,10,9192931.0
Coal,2006,TRE,11,8327646.0
Coal,2006,TRE,12,9825976.0
Coal,2006,WECC,1,19436067.91306
Coal,2006,WECC,2,16783634.15702
Coal,2006,WECC,3,18989862.68957
Coal,2006,WECC,4,15346832.9896
Coal,2006,WECC,5,16289870.752109995
Coal,2006,WECC,6,17035042.946039997
Coal,2006,WECC,7,20273688.80502
Coal,2006,WECC,8,20683600.29209
Coal,2006,WECC,9,19102702.210860007
Coal,2006,WECC,10,18928046.57444
Coal,2006,WECC,11,19201625.083070002
Coal,2006,WECC,12,19790859.13545
Coal,2007,-,1,4749299.328000001
Coal,2007,-,2,4286355.317
Coal,2007,-,3,4868697.4920000015
Coal,2007,-,4,3674317.9319999996
Coal,2007,-,5,3487511.1279999996
Coal,2007,-,6,4469357.246
Coal,2007,-,7,4954645.3440000005
Coal,2007,-,8,5169508.342999999
Coal,2007,-,9,4673992.752
Coal,2007,-,10,3975043.710999999
Coal,2007,-,11,4089225.039000001
Coal,2007,-,12,4951397.6729999995
Coal,2007,FRCC,1,5201911.768
Coal,2007,FRCC,2,4434219.289000001
Coal,2007,FRCC,3,4524205.629000001
Coal,2007,FRCC,4,3632765.921
Coal,2007,FRCC,5,4750603.643999999
Coal,2007,FRCC,6,5085037.627999999
Coal,2007,FRCC,7,5221506.960999999
Coal,2007,FRCC,8,5378737.158000001
Coal,2007,FRCC,9,5091955.3780000005
Coal,2007,FRCC,10,4623789.829000001
Coal,2007,FRCC,11,4366380.756
Coal,2007,FRCC,12,5197570.949000001
Coal,2007,MRO,1,11066361.067000002
Coal,2007,MRO,2,10199332.017000003
Coal,2007,MRO,3,10294077.577000001
Coal,2007,MRO,4,9767787.307999995
Coal,2007,MRO,5,9781700.261
Coal,2007,MRO,6,10894603.822999995
Coal,2007,MRO,7,12193428.056000005
Coal,2007,MRO,8,12251100.560000004
Coal,2007,MRO,9,10657035.870000001
Coal,2007,MRO,10,9992848.348000007
Coal,2007,MRO,11,10138070.516
Coal,2007,MRO,12,11497119.949000005
Coal,2007,NPCC,1,3429194.7460000007
Coal,2007,NPCC,2,3421528.523
Coal,2007,NPCC,3,3560070.833
Coal,2007,NPCC,4,3100656.39
Coal,2007,NPCC,5,2956542.9579999996
