fuel category,year,nerc,month,generation (mwh)
Coal,2003,NPCC,10,3667981.253
Coal,2003,NPCC,11,3496739.0509999995
Coal,2003,NPCC,12,3593380.1040000003
Coal,2003,RFC,1,59657977.448
Coal,2003,RFC,2,52527886.10299999
Coal,2003,RFC,3,51915363.59000001
Coal,2003,RFC,4,48651959.41999998
Coal,2003,RFC,5,47566757.06799999
Coal,2003,RFC,6,50868547.60900003
Coal,2003,RFC,7,58117636.025999986
Coal,2003,RFC,8,59555849.427999996
Coal,2003,RFC,9,52564257.136999995
Coal,2003,RFC,10,51457697.305
Coal,2003,RFC,11,51943960.399
Coal,2003,RFC,12,56947997.513
Coal,2003,SERC,1,53582391.35699999
Coal,2003,SERC,2,46813427.429
Coal,2003,SERC,3,45594471.096000016
Coal,2003,SERC,4,38989752.860000044
Coal,2003,SERC,5,44088081.43
Coal,2003,SERC,6,49459776.803
Coal,2003,SERC,7,55439483.41400002
Coal,2003,SERC,8,57835623.743999995
Coal,2003,SERC,9,50743839.43899999
Coal,2003,SERC,10,46534825.58600001
Coal,2003,SERC,11,45892263.29699999
Coal,2003,SERC,12,53713822.78799998
Coal,2003,SPP,1,12708707.0
Coal,2003,SPP,2,10787909.0
Coal,2003,SPP,3,10692013.0
Coal,2003,SPP,4,9215842.0
Coal,2003,SPP,5,10763740.0
Coal,2003,SPP,6,11580213.0
Coal,2003,SPP,7,12916283.0
Coal,2003,SPP,8,12570227.0
Coal,2003,SPP,9,10871839.0
Coal,2003,SPP,10,10753759.0
Coal,2003,SPP,11,10902334.0
Coal,2003,SPP,12,12088564.0
Coal,2003,TRE,1,10563720.0
Coal,2003,TRE,2,7740311.7190000005
Coal,2003,TRE,3,7605437.437
Coal,2003,TRE,4,8808381.88
Coal,2003,TRE,5,9950080.852
Coal,2003,TRE,6,10134089.74
Coal,2003,TRE,7,10328549.014
Coal,2003,TRE,8,10522336.997
Coal,2003,TRE,9,9979414.534
Coal,2003,TRE,10,10062408.908
Coal,2003,TRE,11,9273547.427
Coal,2003,TRE,12,10272105.979
Coal,2003,WECC,1,20829839.420000006
Coal,2003,WECC,2,17791239.099999998
Coal,2003,WECC,3,18247462.474000003
Coal,2003,WECC,4,16784301.57
Coal,2003,WECC,5,17797855.512
Coal,2003,WECC,6,19352230.338999998
Coal,2003,WECC,7,21289297.783
Coal,2003,WECC,8,20933982.346999995
Coal,2003,WECC,9,19317352.339000005
Coal,2003,WECC,10,19687641.909999996
Coal,2003,WECC,11,19586155.378999993
Coal,2003,WECC,12,21072052.578999996
Coal,2004,ASCC,1,54790.82015
Coal,2004,ASCC,2,54522.58612000001
Coal,2004,ASCC,3,56212.19742
Coal,2004,ASCC,4,53536.607769999995
Coal,2004,ASCC,5,51931.49428
Coal,2004,ASCC,6,51460.37858
Coal,2004,ASCC,7,46939.13875
Coal,2004,ASCC,8,55096.54558
Coal,2004,ASCC,9,53263.75275
Coal,2004,ASCC,10,56710.56053
Coal,2004,ASCC,11,57124.875369999994
Coal,2004,ASCC,12,57390.740549999995
Coal,2004,FRCC,1,5042467.3921300005
Coal,2004,FRCC,2,4107930.20022
Coal,2004,FRCC,3,3913304.22539
Coal,2004,FRCC,4,3803858.1628600005
Coal,2004,FRCC,5,4654477.19163
Coal,2004,FRCC,6,5129914.30815
Coal,2004,FRCC,7,4975915.26109
Coal,2004,FRCC,8,4961012.851970001
Coal,2004,FRCC,9,4179657.7730099997
Coal,2004,FRCC,10,3964025.6058000005
Coal,2004,FRCC,11,4214478.30351
Coal,2004,FRCC,12,5041458.585829999
Coal,2004,HICC,1,135644.00826
Coal,2004,HICC,2,132126.02283
Coal,2004,HICC,3,134053.79846
Coal,2004,HICC,4,114852.72917
Coal,2004,HICC,5,142317.76984999998
Coal,2004,HICC,6,134871.57786
Coal,2004,HICC,7,138887.98435
Coal,2004,HICC,8,148294.10580000002
Coal,2004,HICC,9,147214.34055
Coal,2004,HICC,10,151976.35351000002
Coal,2004,HICC,11,148462.61867999999
Coal,2004,HICC,12,150512.88899
Coal,2004,MRO,1,13522050.695060002
Coal,2004,MRO,2,12527611.983120004
Coal,2004,MRO,3,11788623.055949997
Coal,2004,MRO,4,10528820.480489997
Coal,2004,MRO,5,10307777.942380002
Coal,2004,MRO,6,11674708.505990004
Coal,2004,MRO,7,13190674.608289996
Coal,2004,MRO,8,13243149.943049999
Coal,2004,MRO,9,12436594.234430006
Coal,2004,MRO,10,12560605.785480002
Coal,2004,MRO,11,12477649.451509997
Coal,2004,MRO,12,13260824.343869999
Coal,2004,NPCC,1,3851689.84667
Coal,2004,NPCC,2,3913514.80345
Coal,2004,NPCC,3,3782416.094
Coal,2004,NPCC,4,3267874.464409999
Coal,2004,NPCC,5,3022204.8999900003
Coal,2004,NPCC,6,3544154.1315500005
Coal,2004,NPCC,7,4022427.9215800003
Coal,2004,NPCC,8,3889000.5714800004
Coal,2004,NPCC,9,3445424.4688600004
Coal,2004,NPCC,10,3124013.239530001
Coal,2004,NPCC,11,3180279.96295
Coal,2004,NPCC,12,3627703.4634299995
Coal,2004,RFC,1,59497120.78946998
Coal,2004,RFC,2,52935618.61647001
Coal,2004,RFC,3,52420441.95849001
Coal,2004,RFC,4,46723249.73617998
Coal,2004,RFC,5,48445857.577719994
Coal,2004,RFC,6,53056092.59492998
Coal,2004,RFC,7,57757620.92086999
Coal,2004,RFC,8,56336325.19073003
Coal,2004,RFC,9,52634124.34125002
Coal,2004,RFC,10,50613032.86678
Coal,2004,RFC,11,51472539.31971998
Coal,2004,RFC,12,58212210.342199974
Coal,2004,SERC,1,54737234.96754
Coal,2004,SERC,2,48584788.89212
Coal,2004,SERC,3,45209447.31178003
Coal,2004,SERC,4,42170253.39827001
Coal,2004,SERC,5,51638812.70897003
Coal,2004,SERC,6,53215817.23582001
Coal,2004,SERC,7,57747425.53611999
Coal,2004,SERC,8,55015654.50315001
Coal,2004,SERC,9,48452858.04169
Coal,2004,SERC,10,46506220.52326001
Coal,2004,SERC,11,46085440.24774998
Coal,2004,SERC,12,52041544.43059
Coal,2004,SPP,1,12384957.885250002
Coal,2004,SPP,2,10813783.493789999
Coal,2004,SPP,3,9415990.75246
Coal,2004,SPP,4,8641412.62479
Coal,2004,SPP,5,10565022.08471
Coal,2004,SPP,6,11304315.48086
Coal,2004,SPP,7,12550553.20534
Coal,2004,SPP,8,12237143.6964
Coal,2004,SPP,9,11728424.64441
Coal,2004,SPP,10,10331820.433459999
Coal,2004,SPP,11,10916931.65733
Coal,2004,SPP,12,12089248.046470001
Coal,2004,TRE,1,10394939.04299
Coal,2004,TRE,2,9652459.45746
Coal,2004,TRE,3,8147837.15067
Coal,2004,TRE,4,8549861.35235
Coal,2004,TRE,5,10255909.90366
Coal,2004,TRE,6,9986634.69678
Coal,2004,TRE,7,10715380.44514
Coal,2004,TRE,8,10768336.58194
Coal,2004,TRE,9,10355049.40884
Coal,2004,TRE,10,9689679.10038
Coal,2004,TRE,11,8540141.30509
Coal,2004,TRE,12,10601302.44824
Coal,2004,WECC,1,20802871.709379993
Coal,2004,WECC,2,18595395.76108001
Coal,2004,WECC,3,19250211.13503
Coal,2004,WECC,4,17440674.828789994
Coal,2004,WECC,5,17708116.220400006
Coal,2004,WECC,6,19327728.013509996
Coal,2004,WECC,7,20141559.540829998
Coal,2004,WECC,8,21315807.861959998
Coal,2004,WECC,9,20616912.457489997
Coal,2004,WECC,10,20412064.52352
Coal,2004,WECC,11,19952610.732059997
Coal,2004,WECC,12,21171466.668130007
Coal,2005,ASCC,1,57267.174
Coal,2005,ASCC,2,51496.259589999994
Coal,2005,ASCC,3,54169.180949999994
Coal,2005,ASCC,4,48381.77659
Coal,2005,ASCC,5,45787.12363
Coal,2005,ASCC,6,45261.46355
Coal,2005,ASCC,7,54881.553620000006
Coal,2005,ASCC,8,54179.937939999996
Coal,2005,ASCC,9,48908.96625
Coal,2005,ASCC,10,52624.22416
Coal,2005,ASCC,11,54163.063330000004
Coal,2005,ASCC,12,57197.063899999994
Coal,2005,FRCC,1,4825202.431249999
Coal,2005,FRCC,2,4040721.7902200003
Coal,2005,FRCC,3,3681025.9639500002
Coal,2005,FRCC,4,3501586.52679
Coal,2005,FRCC,5,4738280.21289
Coal,2005,FRCC,6,4828486.88965
Coal,2005,FRCC,7,5088746.58725
Coal,2005,FRCC,8,4986294.69931
Coal,2005,FRCC,9,4977594.517939999
Coal,2005,FRCC,10,4532195.4945
Coal,2005,FRCC,11,4611154.41167
Coal,2005,FRCC,12,4901894.36898
Coal,2005,HICC,1,134014.85614000002
Coal,2005,HICC,2,120287.96037999999
Coal,2005,HICC,3,138371.73931
Coal,2005,HICC,4,134055.98112
Coal,2005,HICC,5,141133.97577
Coal,2005,HICC,6,137703.91339000003
Coal,2005,HICC,7,141340.50878
Coal,2005,HICC,8,137240.59053000002
Coal,2005,HICC,9,131024.13442000002
Coal,2005,HICC,10,140138.36615000002
Coal,2005,HICC,11,136784.63518
Coal,2005,HICC,12,138821.37751
Coal,2005,MRO,1,13622288.985879991
Coal,2005,MRO,2,11437763.367899999
Coal,2005,MRO,3,12238836.409710001
Coal,2005,MRO,4,10656830.130169997
Coal,2005,MRO,5,11307168.034879997
Coal,2005,MRO,6,12652306.173340002
Coal,2005,MRO,7,13617058.948790003
Coal,2005,MRO,8,13465794.239169998
Coal,2005,MRO,9,11726406.405190004
Coal,2005,MRO,10,11891635.400369998
Coal,2005,MRO,11,11770426.715260003
Coal,2005,MRO,12,13084896.007459998
Coal,2005,NPCC,1,3593386.36141
Coal,2005,NPCC,2,3344119.9294700003
Coal,2005,NPCC,3,3598805.6337099997
Coal,2005,NPCC,4,3024162.5564300003
Coal,2005,NPCC,5,2523503.41788
Coal,2005,NPCC,6,3560462.2234300002
Coal,2005,NPCC,7,3997760.4799900004
Coal,2005,NPCC,8,3832986.3669800004
Coal,2005,NPCC,9,3562790.48879
Coal,2005,NPCC,10,3241163.6993700005
Coal,2005,NPCC,11,3360578.81024
Coal,2005,NPCC,12,3894576.73796
Coal,2005,RFC,1,58138653.998679966
Coal,2005,RFC,2,52034435.51937
Coal,2005,RFC,3,55669297.140599996
Coal,2005,RFC,4,46220070.253189996
Coal,2005,RFC,5,47001485.70295999
Coal,2005,RFC,6,57156609.74156002
Coal,2005,RFC,7,61783220.29445999
Coal,2005,RFC,8,62554057.99658997
Coal,2005,RFC,9,55612988.56374001
Coal,2005,RFC,10,52921427.01330996
Coal,2005,RFC,11,52597265.498840004
Coal,2005,RFC,12,59029402.1212
Coal,2005,SERC,1,52420497.77330996
Coal,2005,SERC,2,47243874.425880015
Coal,2005,SERC,3,49365462.5352
Coal,2005,SERC,4,44133397.90431997
Coal,2005,SERC,5,49466063.806700006
Coal,2005,SERC,6,54106528.47619004
Coal,2005,SERC,7,57022219.38089
Coal,2005,SERC,8,57996100.719060004
Coal,2005,SERC,9,54288409.46162995
Coal,2005,SERC,10,49529104.45817
Coal,2005,SERC,11,46668623.150410004
Coal,2005,SERC,12,54023322.162659995
Coal,2005,SPP,1,12834392.26857
Coal,2005,SPP,2,10614330.28083
Coal,2005,SPP,3,10518888.48203
Coal,2005,SPP,4,9091042.040819999
Coal,2005,SPP,5,10368460.694949998
Coal,2005,SPP,6,11705192.87369
Coal,2005,SPP,7,12570801.556330001
Coal,2005,SPP,8,12572855.945050001
Coal,2005,SPP,9,11075771.923900003
Coal,2005,SPP,10,10398563.900050001
Coal,2005,SPP,11,10585984.67951
Coal,2005,SPP,12,11844436.73208
Coal,2005,TRE,1,10570235.0
Coal,2005,TRE,2,8986083.0
Coal,2005,TRE,3,9180479.0
Coal,2005,TRE,4,8457451.0
Coal,2005,TRE,5,10339652.0
Coal,2005,TRE,6,10429776.0
Coal,2005,TRE,7,10702165.0
Coal,2005,TRE,8,10671768.0
Coal,2005,TRE,9,10311756.0
Coal,2005,TRE,10,9400414.0
Coal,2005,TRE,11,9695988.0
Coal,2005,TRE,12,10250123.0
Coal,2005,WECC,1,20862180.080570005
Coal,2005,WECC,2,17986876.04923
Coal,2005,WECC,3,19252553.383050006
Coal,2005,WECC,4,17658645.037600003
Coal,2005,WECC,5,18098149.20898999
Coal,2005,WECC,6,20249949.35202
Coal,2005,WECC,7,21201371.166010004
Coal,2005,WECC,8,21370613.780449998
Coal,2005,WECC,9,19999088.274109997
Coal,2005,WECC,10,20403616.94017
Coal,2005,WECC,11,19387127.368830007
Coal,2005,WECC,12,20844980.592499997
Coal,2006,ASCC,1,56791.606759999995
Coal,2006,ASCC,2,52335.35935
Coal,2006,ASCC,3,53367.173879999995
Coal,2006,ASCC,4,50789.205830000006
Coal,2006,ASCC,5,47852.470429999994
Coal,2006,ASCC,6,41751.36808
Coal,2006,ASCC,7,52700.55602
Coal,2006,ASCC,8,51804.39730999999
Coal,2006,ASCC,9,49257.474160000005
Coal,2006,ASCC,10,51246.771629999996
Coal,2006,ASCC,11,52852.865770000004
Coal,2006,ASCC,12,56669.78155
Coal,2006,FRCC,1,4945302.66859
Coal,2006,FRCC,2,4311513.186050001
Coal,2006,FRCC,3,3827502.0864199996
Coal,2006,FRCC,4,3994627.46352
Coal,2006,FRCC,5,4791475.86287
Coal,2006,FRCC,6,4953788.0152199995
Coal,2006,FRCC,7,5172320.082920001
Coal,2006,FRCC,8,5428881.2638799995
Coal,2006,FRCC,9,5057623.274489999
Coal,2006,FRCC,10,4257771.90902
Coal,2006,FRCC,11,4125532.34373
Coal,2006,FRCC,12,5349374.271559999
Coal,2006,HICC,1,98812.70628
Coal,2006,HICC,2,100360.15122
Coal,2006,HICC,3,135536.08426
Coal,2006,HICC,4,132801.44392
Coal,2006,HICC,5,127354.31797999999
Coal,2006,HICC,6,134327.11117000002
