year,nerc,month,final co2 (kg),generation (mwh),index,datetime
2004,RFC,8,58457766793.23461,88315952.64828002,661.9162794522954,2004-08-01
2004,RFC,9,53661665379.97524,81140196.65485,661.3450249355258,2004-09-01
2004,RFC,10,50142768078.38784,76154445.71623002,658.4352050204919,2004-10-01
2004,RFC,11,51293474273.41558,76019528.05006999,674.7407618688624,2004-11-01
2004,RFC,12,58664805955.744835,87394628.19655998,671.2632934807084,2004-12-01
2004,SERC,1,58859426365.80585,95448867.44987002,616.6592431986578,2004-01-01
2004,SERC,2,52633048613.53474,85925501.04297002,612.5428187752291,2004-02-01
2004,SERC,3,48816565658.45054,80578758.86068001,605.8242438662273,2004-03-01
2004,SERC,4,45773798545.76431,76979246.46048,594.6251834156872,2004-04-01
2004,SERC,5,57243479569.44839,89840454.41783002,637.168188210852,2004-05-01
2004,SERC,6,58234117748.614,93755789.04968001,621.1255682329811,2004-06-01
2004,SERC,7,64010923691.07139,103399421.62144998,619.0646203555984,2004-07-01
2004,SERC,8,61275157152.56697,99358088.95881,616.710303053124,2004-08-01
2004,SERC,9,53028345806.75479,88426997.31158,599.685021757608,2004-09-01
2004,SERC,10,49968289758.088234,83262875.17279002,600.126883132396,2004-10-01
2004,SERC,11,48160238462.820305,79925168.83195998,602.566615330843,2004-11-01
2004,SERC,12,55506681279.85869,93349623.34238,594.6106614300509,2004-12-01
2004,SPP,1,14901106872.445267,17190910.411989998,866.8014965660177,2004-01-01
2004,SPP,2,13453149195.505867,15942486.572979996,843.8551372724276,2004-02-01
2004,SPP,3,11969781654.470367,15023743.281999996,796.7243202838408,2004-03-01
2004,SPP,4,11259722447.523018,14363164.389999999,783.9304864715134,2004-04-01
2004,SPP,5,13714139781.546967,17339423.37499,790.9224825392946,2004-05-01
2004,SPP,6,14528149176.100962,17743678.924009997,818.778858562532,2004-06-01
2004,SPP,7,16336448116.33587,20636180.983990002,791.6410565021718,2004-07-01
2004,SPP,8,15689689411.838177,19492849.499999996,804.8946056777476,2004-08-01
2004,SPP,9,14749091812.942348,18083594.891009998,815.606183495885,2004-09-01
2004,SPP,10,12996553400.469297,15562685.648029998,835.1099350332547,2004-10-01
2004,SPP,11,12908332349.631754,15133896.328,852.9417718918415,2004-11-01
2004,SPP,12,14642914359.018898,16986644.06699,862.025147596655,2004-12-01
2004,TRE,1,14745950367.379076,24308261.27744,606.6229994435879,2004-01-01
2004,TRE,2,13894381563.493986,23349866.859230004,595.0518539253108,2004-02-01
2004,TRE,3,12766457627.019972,22841411.467899997,558.9171949798819,2004-03-01
2004,TRE,4,13506498151.74053,22278440.969349995,606.2586771813325,2004-04-01
2004,TRE,5,15757463748.47275,27149663.17857,580.3926054195238,2004-05-01
2004,TRE,6,16549218703.610556,28684635.675789997,576.9366880116311,2004-06-01
2004,TRE,7,18375550132.674862,31625659.80592,581.0329411446824,2004-07-01
2004,TRE,8,18348848537.97103,31464954.06598,583.1519251385103,2004-08-01
2004,TRE,9,16757127482.234827,28895691.299719993,579.9178607087766,2004-09-01
2004,TRE,10,15529729267.927067,26834966.65672,578.7124488205063,2004-10-01
2004,TRE,11,12991178013.608763,22782258.05288,570.232238764695,2004-11-01
2004,TRE,12,15253247754.575544,25668925.643839996,594.2300806125091,2004-12-01
2004,WECC,1,26946027028.55128,57274715.84731998,470.4698509615067,2004-01-01
2004,WECC,2,24818806014.31259,52527134.09226001,472.49495795297344,2004-02-01
2004,WECC,3,25316316602.49602,54005808.93189999,468.770250889479,2004-03-01
2004,WECC,4,23223830991.756516,50601549.76021998,458.95493521057637,2004-04-01
2004,WECC,5,24097531943.349167,55363416.53040999,435.26092596024824,2004-05-01
2004,WECC,6,25977292731.215855,58808602.24613997,441.7260696401083,2004-06-01
2004,WECC,7,29785663742.044804,64839687.942360006,459.3739527019796,2004-07-01
2004,WECC,8,30621403887.43329,63691706.96587001,480.7753685082133,2004-08-01
2004,WECC,9,28772311963.32506,58776141.378559984,489.52366195683027,2004-09-01
2004,WECC,10,27467472784.37322,54281211.68942999,506.0217325569,2004-10-01
2004,WECC,11,27053651291.12183,53077094.34410999,509.704828899022,2004-11-01
2004,WECC,12,28193880316.752445,58291176.02299,483.6732116303983,2004-12-01
2005,ASCC,1,334506036.1075,633474.4400000001,528.0497759428147,2005-01-01
2005,ASCC,2,269438863.4348,531043.8670000001,507.3759065459652,2005-02-01
2005,ASCC,3,276621754.54929984,542011.694,510.3612294927715,2005-03-01
2005,ASCC,4,251701324.03869995,498038.826,505.3849437005539,2005-04-01
2005,ASCC,5,255035559.83319995,505793.86699999997,504.2282567518755,2005-05-01
2005,ASCC,6,272618447.09269994,504684.09799999994,540.1764156490225,2005-06-01
2005,ASCC,7,312528277.21060014,569690.898,548.5927163445748,2005-07-01
2005,ASCC,8,331250665.1667001,574049.981,577.0415053226874,2005-08-01
2005,ASCC,9,278463748.6358,503710.11,552.8254110996502,2005-09-01
2005,ASCC,10,305574918.17880005,563670.56,542.1161576698275,2005-10-01
2005,ASCC,11,304405103.7185,581892.0229999999,523.1298792327663,2005-11-01
2005,ASCC,12,339406921.5056001,643450.179,527.4797219468954,2005-12-01
2005,FRCC,1,9213599798.408398,15747388.477009999,585.0874773210529,2005-01-01
2005,FRCC,2,7753711882.326944,13686005.128019998,566.5431080726696,2005-02-01
2005,FRCC,3,8315142879.979986,15465853.216020003,537.6452733540046,2005-03-01
2005,FRCC,4,8067301477.8612385,14465710.838999996,557.6844143815974,2005-04-01
2005,FRCC,5,10445461014.087673,17472378.751,597.8270711130187,2005-05-01
2005,FRCC,6,11253065671.854624,19253300.76802,584.4746211281404,2005-06-01
2005,FRCC,7,13171539796.054787,22266313.417,591.5456029644545,2005-07-01
2005,FRCC,8,13182424400.069107,22660490.33498,581.736061541439,2005-08-01
2005,FRCC,9,11886877856.004375,20564182.870980002,578.0379376405485,2005-09-01
2005,FRCC,10,10430731545.768398,17220690.29402,605.7092583211104,2005-10-01
2005,FRCC,11,9122009671.738066,14830132.658009999,615.0996678246919,2005-11-01
2005,FRCC,12,9600487757.11411,15647781.264010001,613.5366794265776,2005-12-01
2005,HICC,1,697705681.808,959401.6380000002,727.2300298157296,2005-01-01
2005,HICC,2,572797282.9114001,802471.95299,713.7910312966887,2005-02-01
2005,HICC,3,632059479.7461001,888271.2200099999,711.5613626871582,2005-03-01
2005,HICC,4,659170601.8351,886805.1430200002,743.3094034505771,2005-04-01
2005,HICC,5,699241294.5597999,960607.3730000001,727.915810573109,2005-05-01
2005,HICC,6,697591117.1655003,951038.4569900001,733.5046359464255,2005-06-01
2005,HICC,7,782201559.8761001,1055722.6450099999,740.9157732604011,2005-07-01
2005,HICC,8,826139550.4856,1096994.4219900002,753.0936656787584,2005-08-01
2005,HICC,9,781779041.6412998,1051218.0029799999,743.6887871260836,2005-09-01
2005,HICC,10,713834342.9422002,969192.16501,736.5250862658747,2005-10-01
2005,HICC,11,652242429.3224,903797.24699,721.668971104552,2005-11-01
2005,HICC,12,733976173.0932001,997285.08801,735.9742784861938,2005-12-01
2005,MRO,1,15173088066.73668,18186079.91794999,834.3242818239552,2005-01-01
2005,MRO,2,12826478523.226297,15131021.311999999,847.6941680766762,2005-02-01
2005,MRO,3,13650373537.369696,16218859.072,841.6358682674232,2005-03-01
