"fuel category","generation (M MWh)","hovertext","date"
"Coal",152.86685270400022,"152 Million MWh<br>2,211 lb/MWh","2013-07-01"
"Coal",149.42605290299997,"149 Million MWh<br>2,216 lb/MWh","2013-08-01"
"Coal",133.11043728799999,"133 Million MWh<br>2,212 lb/MWh","2013-09-01"
"Coal",120.97974555200005,"120 Million MWh<br>2,203 lb/MWh","2013-10-01"
"Coal",120.93972975,"120 Million MWh<br>2,187 lb/MWh","2013-11-01"
"Coal",141.85966536899988,"141 Million MWh<br>2,182 lb/MWh","2013-12-01"
"Coal",157.09699646000004,"157 Million MWh<br>2,166 lb/MWh","2014-01-01"
"Coal",143.29340980000006,"143 Million MWh<br>2,162 lb/MWh","2014-02-01"
"Coal",136.43695142900017,"136 Million MWh<br>2,167 lb/MWh","2014-03-01"
"Coal",109.276362654,"109 Million MWh<br>2,179 lb/MWh","2014-04-01"
"Coal",118.77581838599998,"118 Million MWh<br>2,197 lb/MWh","2014-05-01"
"Coal",137.571432492,"137 Million MWh<br>2,210 lb/MWh","2014-06-01"
"Coal",149.62615129100013,"149 Million MWh<br>2,214 lb/MWh","2014-07-01"
"Coal",148.450785783,"148 Million MWh<br>2,215 lb/MWh","2014-08-01"
"Coal",126.10961706500004,"126 Million MWh<br>2,210 lb/MWh","2014-09-01"
"Coal",111.29584123900013,"111 Million MWh<br>2,197 lb/MWh","2014-10-01"
"Coal",119.127169026,"119 Million MWh<br>2,178 lb/MWh","2014-11-01"
"Coal",123.923114501,"123 Million MWh<br>2,197 lb/MWh","2014-12-01"
"Coal",131.04675830799997,"131 Million MWh<br>2,234 lb/MWh","2015-01-01"
"Coal",124.50086988100004,"124 Million MWh<br>2,213 lb/MWh","2015-02-01"
"Coal",108.38618932299995,"108 Million MWh<br>2,194 lb/MWh","2015-03-01"
"Coal",88.97559974599992,"88 Million MWh<br>2,201 lb/MWh","2015-04-01"
"Coal",104.56944160499997,"104 Million MWh<br>2,235 lb/MWh","2015-05-01"
"Coal",125.54044900400004,"125 Million MWh<br>2,245 lb/MWh","2015-06-01"
"Coal",138.41451198099983,"138 Million MWh<br>2,247 lb/MWh","2015-07-01"
"Coal",134.65545257700015,"134 Million MWh<br>2,247 lb/MWh","2015-08-01"
"Coal",117.970630949,"117 Million MWh<br>2,243 lb/MWh","2015-09-01"
"Coal",96.74483707599991,"96 Million MWh<br>2,242 lb/MWh","2015-10-01"
"Coal",86.46916384600003,"86 Million MWh<br>2,269 lb/MWh","2015-11-01"
"Coal",89.48066640100014,"89 Million MWh<br>2,255 lb/MWh","2015-12-01"
"Coal",113.45903474699996,"113 Million MWh<br>2,207 lb/MWh","2016-01-01"
"Coal",92.70450596700003,"92 Million MWh<br>2,212 lb/MWh","2016-02-01"
"Coal",72.17238014100006,"72 Million MWh<br>2,238 lb/MWh","2016-03-01"
"Coal",72.112715238,"72 Million MWh<br>2,215 lb/MWh","2016-04-01"
"Coal",81.69427258900001,"81 Million MWh<br>2,237 lb/MWh","2016-05-01"
"Coal",116.034237476,"116 Million MWh<br>2,222 lb/MWh","2016-06-01"
"Coal",136.31618163100006,"136 Million MWh<br>2,223 lb/MWh","2016-07-01"
"Coal",135.63447997199998,"135 Million MWh<br>2,225 lb/MWh","2016-08-01"
"Coal",114.13753458100017,"114 Million MWh<br>2,222 lb/MWh","2016-09-01"
"Coal",99.19371167200003,"99 Million MWh<br>2,203 lb/MWh","2016-10-01"
"Coal",86.94046240699997,"86 Million MWh<br>2,210 lb/MWh","2016-11-01"
"Coal",118.74684189899985,"118 Million MWh<br>2,187 lb/MWh","2016-12-01"
"Coal",114.06302776199996,"114 Million MWh<br>2,313 lb/MWh","2017-01-01"
"Coal",85.779022034,"85 Million MWh<br>2,330 lb/MWh","2017-02-01"
"Coal",88.361378878,"88 Million MWh<br>2,358 lb/MWh","2017-03-01"
"Coal",80.62888355500007,"80 Million MWh<br>2,349 lb/MWh","2017-04-01"
"Coal",91.92756187600006,"91 Million MWh<br>2,361 lb/MWh","2017-05-01"
"Coal",106.58336510299993,"106 Million MWh<br>2,380 lb/MWh","2017-06-01"
"Coal",126.49556590099998,"126 Million MWh<br>2,391 lb/MWh","2017-07-01"
"Coal",118.27628116800005,"118 Million MWh<br>2,388 lb/MWh","2017-08-01"
"Coal",96.17636210399996,"96 Million MWh<br>2,411 lb/MWh","2017-09-01"
"Coal",89.05210546899997,"89 Million MWh<br>2,379 lb/MWh","2017-10-01"
"Coal",90.102781886,"90 Million MWh<br>2,358 lb/MWh","2017-11-01"
"Coal",105.41154317799995,"105 Million MWh<br>2,338 lb/MWh","2017-12-01"
"Hydro",18.242630046000013,"18 Million MWh<br>0 lb/MWh","2001-01-01"
"Hydro",16.768735844000002,"16 Million MWh<br>0 lb/MWh","2001-02-01"
"Hydro",19.71953495100004,"19 Million MWh<br>0 lb/MWh","2001-03-01"
"Hydro",17.22938514,"17 Million MWh<br>0 lb/MWh","2001-04-01"
"Hydro",18.560840695000017,"18 Million MWh<br>0 lb/MWh","2001-05-01"
"Hydro",19.982137232999992,"19 Million MWh<br>0 lb/MWh","2001-06-01"
"Hydro",17.250303381000016,"17 Million MWh<br>0 lb/MWh","2001-07-01"
"Hydro",18.25029551100002,"18 Million MWh<br>0 lb/MWh","2001-08-01"
"Hydro",14.400136036999994,"14 Million MWh<br>0 lb/MWh","2001-09-01"
"Hydro",14.662567207999993,"14 Million MWh<br>0 lb/MWh","2001-10-01"
"Hydro",14.619249031999997,"14 Million MWh<br>0 lb/MWh","2001-11-01"
"Hydro",18.748470702999988,"18 Million MWh<br>0 lb/MWh","2001-12-01"
"Hydro",20.97353295299997,"20 Million MWh<br>0 lb/MWh","2002-01-01"
"Hydro",19.544471182,"19 Million MWh<br>0 lb/MWh","2002-02-01"
"Hydro",20.241404901000006,"20 Million MWh<br>0 lb/MWh","2002-03-01"
"Hydro",23.527090439,"23 Million MWh<br>0 lb/MWh","2002-04-01"
"Hydro",26.01319315900002,"26 Million MWh<br>0 lb/MWh","2002-05-01"
"Hydro",27.298926849,"27 Million MWh<br>0 lb/MWh","2002-06-01"
"Hydro",24.42647147699999,"24 Million MWh<br>0 lb/MWh","2002-07-01"
"Hydro",20.10895293799998,"20 Million MWh<br>0 lb/MWh","2002-08-01"
"Hydro",16.270340066000006,"16 Million MWh<br>0 lb/MWh","2002-09-01"
"Hydro",16.450419019999995,"16 Million MWh<br>0 lb/MWh","2002-10-01"
"Hydro",19.027342629,"19 Million MWh<br>0 lb/MWh","2002-11-01"
"Hydro",20.94269096699999,"20 Million MWh<br>0 lb/MWh","2002-12-01"
"Hydro",19.78158686200001,"19 Million MWh<br>0 lb/MWh","2003-01-01"
"Hydro",19.006907630000008,"19 Million MWh<br>0 lb/MWh","2003-02-01"
"Hydro",23.404178566000027,"23 Million MWh<br>0 lb/MWh","2003-03-01"
"Hydro",24.19183726600001,"24 Million MWh<br>0 lb/MWh","2003-04-01"
"Hydro",28.77345942599998,"28 Million MWh<br>0 lb/MWh","2003-05-01"
"Hydro",27.80023488599998,"27 Million MWh<br>0 lb/MWh","2003-06-01"
"Hydro",24.080345768999962,"24 Million MWh<br>0 lb/MWh","2003-07-01"
"Hydro",22.14784935700002,"22 Million MWh<br>0 lb/MWh","2003-08-01"
"Hydro",17.696214131999973,"17 Million MWh<br>0 lb/MWh","2003-09-01"
"Hydro",17.796509966999977,"17 Million MWh<br>0 lb/MWh","2003-10-01"
"Hydro",18.999671408999994,"18 Million MWh<br>0 lb/MWh","2003-11-01"
"Hydro",23.263735781999994,"23 Million MWh<br>0 lb/MWh","2003-12-01"
"Hydro",22.135325142999992,"22 Million MWh<br>0 lb/MWh","2004-01-01"
"Hydro",20.178244136,"20 Million MWh<br>0 lb/MWh","2004-02-01"
"Hydro",22.150602006000007,"22 Million MWh<br>0 lb/MWh","2004-03-01"
