plant id,lat,lon,nerc,state
10323,45.66523,-121.52376100000001,WECC,OR
10612,30.6547,-91.28,SERC,LA
1032,40.758858000000004,-86.360289,RFC,IN
10339,35.016110999999995,-106.669722,WECC,NM
10282,40.646733000000005,-123.49800800000001,WECC,CA
10342,38.0244,-122.0589,WECC,CA
10495,44.5513,-70.5414,NPCC,ME
10308,40.439,-74.3444,RFC,NJ
10503,43.3056,-73.591447,NPCC,NY
10550,35.394254,-81.201002,SERC,NC
10546,40.744105,-80.317839,RFC,PA
10562,30.6612,-81.473,FRCC,FL
10554,28.6917,-96.5417,TRE,TX
10547,44.522043,-75.188108,NPCC,NY
10525,35.130193,-77.16788299999999,SERC,NC
10556,42.652454,-71.322383,NPCC,MA
10597,35.0697,-118.3167,WECC,CA
10566,39.693494,-75.485811,RFC,NJ
10601,33.77697,-118.22821,WECC,CA
10568,29.964938,-93.891283,SERC,TX
10603,40.455,-78.7472,RFC,PA
10570,44.786648,-71.12433,NPCC,NH
10593,30.2012,-93.1269,SERC,LA
10605,31.175406,-81.521637,SERC,GA
1060,42.1011,-91.7781,MRO,IA
10548,37.336113,-121.878332,WECC,CA
10600,32.765,-117.1639,WECC,CA
10610,31.6285,-90.0809,SERC,MS
10611,29.6807,-81.6809,FRCC,FL
10488,30.8606,-93.3756,SPP,LA
10608,44.4122,-71.7228,NPCC,VT
10480,37.6451,-118.9143,WECC,CA
10501,35.194559999999996,-119.57096999999999,WECC,CA
10504,42.5328,-114.4328,WECC,ID
10496,35.4515,-118.9849,WECC,CA
10494,44.9108,-72.9736,NPCC,VT
10511,43.3084,-73.6376,NPCC,NY
10502,37.719939000000004,-121.48867,WECC,CA
10490,43.883611,-75.42805600000001,NPCC,NY
10520,41.387792,-88.78965600000001,SERC,IL
10491,44.546503,-70.544286,NPCC,ME
10521,41.0772,-74.0181,NPCC,NY
10540,43.978626,-75.88610200000001,NPCC,NY
10530,43.289874,-73.665834,NPCC,NY
10531,43.9767,-75.9072,NPCC,NY
10523,44.580175,-69.55452,NPCC,ME
10538,44.003984,-76.04127700000001,NPCC,NY
10545,43.899745,-75.660268,NPCC,NY
10519,43.403087,-70.98647,NPCC,NH
10555,45.6603,-69.812168,NPCC,ME
10860,41.8206,-90.2097,MRO,IA
10864,41.9221,-91.6875,MRO,IA
10861,41.624438,-93.584515,MRO,IA
117,33.4417,-112.1583,WECC,AZ
10866,40.677188,-89.604911,SERC,IL
10867,39.84919,-88.931944,SERC,IL
10865,39.870074,-88.89075600000001,SERC,IL
1167,41.3917,-91.0569,MRO,IA
10181,35.6497,-82.5992,SERC,NC
10173,35.0642,-81.5458,SERC,SC
10873,36.0372,-117.7981,WECC,CA
10881,40.882061,-121.948353,WECC,CA
10874,36.0192,-117.7917,WECC,CA
10878,33.158,-115.6475,WECC,CA
10869,42.436111,-122.849958,WECC,OR
10870,40.928160999999996,-76.040929,RFC,PA
109,59.042914,-158.468597,ASCC,AK
10902,42.9197,-76.5477,NPCC,NY
10882,40.874144,-121.920428,WECC,CA
10883,42.33685,-71.10815,NPCC,MA
10862,40.866463,-96.614486,MRO,NE
10194,21.311667,-158.113889,HICC,HI
11,33.7845,-86.0524,SERC,AL
1104,40.7412,-91.116667,MRO,IA
10903,41.5697,-88.0789,RFC,IL
1020,39.255911,-111.62149099999999,WECC,UT
1121,42.6736,-95.3026,MRO,IA
1121,42.6736,-95.3026,SPP,IA
1091,42.299794,-96.361707,MRO,IA
1123,41.444224,-94.766474,MRO,IA
10208,45.8044,-87.0891,MRO,MI
1120,43.0733,-94.2392,MRO,IA
1120,43.0733,-94.2392,SPP,IA
1127,40.7031,-92.4253,MRO,IA
1122,42.0258,-93.6089,MRO,IA
1109,40.3965,-91.3719,SERC,IA
1129,42.29821,-91.011974,MRO,IA
1125,43.292628,-94.217075,MRO,IA
113,34.9394,-110.3033,WECC,AZ
1130,42.512,-92.476,MRO,IA
1131,42.5267,-92.4394,MRO,IA
1128,41.7278,-92.4479,MRO,IA
1132,42.280827,-91.532705,MRO,IA
