plant id,state,lat,lon,nerc
56005,VA,38.4006,-78.8983,SERC
56006,VA,38.4319,-78.8642,SERC
56010,IA,43.0533,-93.6305,MRO
56011,CA,33.9172,-116.735,WECC
56012,CA,33.925,-116.617778,WECC
56013,IA,41.514365,-94.919729,MRO
56015,GA,30.910985,-84.547304,SERC
56016,WA,46.7289,-117.1514,WECC
56017,WA,46.3069,-119.1139,WECC
56018,AL,33.1661,-86.2825,SERC
56022,KS,37.227778,-96.989722,SPP
56024,NH,40.441667,-71.1875,
56025,IA,42.1817,-92.4663,MRO
56026,CA,37.3767,-121.9508,WECC
56031,WI,44.3204,-88.208889,MRO
56032,NY,40.6439,-73.5683,NPCC
56035,NC,35.694344,-77.91919,SERC
56036,CA,37.8258,-122.2961,WECC
56037,WI,44.189036,-88.468492,MRO
56038,MD,38.985844,-76.935478,RFC
56039,CA,33.9986,-118.2219,WECC
56040,MD,39.4,-76.7667,RFC
56041,CA,33.9986,-118.2219,WECC
56042,NY,42.585833,-73.7625,NPCC
56043,CA,37.807222,-122.285,WECC
56045,MD,39.208333,-76.541667,RFC
56046,CA,34.1786,-118.3153,WECC
56050,MD,39.283677,-76.59941,RFC
56051,CA,33.7684,-118.2141,WECC
56052,PA,39.790739,-79.002047,RFC
56053,IL,39.310555,-87.992592,SERC
56054,MN,43.978486,-92.851078,MRO
56058,NC,35.944444,-79.943055,SERC
56059,NC,35.924393,-79.990124,SERC
56060,NC,35.2242,-81.1228,SERC
56061,NC,35.223381,-81.13306,SERC
56062,NC,35.798462,-80.942709,SERC
56063,NC,35.3036,-81.5225,SERC
56064,NC,35.7208,-81.66243,SERC
56065,NC,35.5753,-81.2278,SERC
56066,NC,35.8075,-80.2653,SERC
56067,NC,35.830877,-80.242154,SERC
56068,WI,42.8492,-87.8336,
56069,WI,43.9603,-88.9158,MRO
56070,WI,43.0802,-89.3747,RFC
56072,IA,42.0453,-91.6969,MRO
56073,IA,42.02771,-91.7111,MRO
56074,IA,41.9244,-91.63852,MRO
56075,CA,38.1381,-121.8053,WECC
56076,AL,33.582793,-86.779866,SERC
56077,CA,34.1775,-118.314722,WECC
56078,CA,37.4878,-120.8956,WECC
56079,AR,34.5136,-91.5331,SERC
56080,CA,37.4344,-121.9464,WECC
56081,OK,34.850781,-98.577311,SPP
56090,CA,33.9328,-117.855,WECC
56092,SD,44.5492,-99.5,MRO
56093,WY,41.2874,-110.5556,WECC
56094,OK,36.603967,-99.340047,SPP
56097,NM,34.63566,-104.04733,WECC
56098,ND,47.396944,-97.060555,MRO
56099,ND,46.327169,-98.898356,MRO
56100,MN,43.9742,-92.0597,MRO
56102,UT,39.82144,-111.89345,WECC
56104,MN,44.1988,-94.003,MRO
56106,NE,41.2736,-103.6983,MRO
56108,LA,30.2554,-92.0433,SERC
56111,TX,32.94793,-101.147784,TRE
56112,CA,33.9141,-116.5914,WECC
56113,TX,29.4289,-98.3433,TRE
56114,IL,38.7417,-89.6847,SERC
56115,IL,38.3344,-90.1588,SERC
56116,IL,38.6658,-88.4625,SERC
56117,IL,38.6693,-88.4635,SERC
