nerc,year,month,ngcc,turbine,other,total,ngcc fraction,turbine fraction,other fraction,datetime
SERC,2004,7,38297.6,36034.1,21219.699999999997,95551.4,0.40080626762140587,0.3771174467354743,0.22207628564311982,2004-07-01
SERC,2004,8,38297.6,36358.5,21219.699999999997,95875.8,0.3994501219285784,0.379224997340309,0.2213248807311125,2004-08-01
SERC,2004,9,38297.6,36358.5,21201.199999999997,95857.3,0.39952721388981327,0.3792981859493226,0.22117460016086407,2004-09-01
SERC,2004,10,38297.6,36839.799999999996,21201.199999999997,96338.59999999999,0.39753120763639915,0.38239916295233684,0.220069629411264,2004-10-01
SERC,2004,11,38297.6,36839.799999999996,21201.199999999997,96338.59999999999,0.39753120763639915,0.38239916295233684,0.220069629411264,2004-11-01
SERC,2004,12,38297.6,36839.799999999996,21201.199999999997,96338.59999999999,0.39753120763639915,0.38239916295233684,0.220069629411264,2004-12-01
SERC,2005,1,38297.6,37400.799999999996,21133.6,96832.0,0.3955056179775281,0.3862442167878387,0.21825016523463317,2005-01-01
SERC,2005,2,38297.6,37548.8,21133.6,96980.0,0.3949020416580738,0.38718086203340896,0.21791709630851722,2005-02-01
SERC,2005,3,38297.6,37548.8,21133.6,96980.0,0.3949020416580738,0.38718086203340896,0.21791709630851722,2005-03-01
SERC,2005,4,38297.6,37548.8,21133.6,96980.0,0.3949020416580738,0.38718086203340896,0.21791709630851722,2005-04-01
SERC,2005,5,38297.6,37693.8,21130.5,97121.9,0.39432506983491883,0.3881081403885221,0.21756678977655916,2005-05-01
SERC,2005,6,38297.6,37693.8,21130.5,97121.9,0.39432506983491883,0.3881081403885221,0.21756678977655916,2005-06-01
SERC,2005,7,39616.2,38249.799999999996,21129.0,98995.0,0.40018384766907417,0.3863811303601192,0.2134350219708066,2005-07-01
SERC,2005,8,40049.6,38249.799999999996,21128.0,99427.4,0.4028024468104366,0.3847007967622607,0.21249675642730276,2005-08-01
SERC,2005,9,40049.6,38230.799999999996,21120.4,99400.79999999999,0.40291023814697674,0.3846125986913586,0.21247716316166473,2005-09-01
SERC,2005,10,40049.6,38230.799999999996,21120.4,99400.79999999999,0.40291023814697674,0.3846125986913586,0.21247716316166473,2005-10-01
SERC,2005,11,40049.6,38334.799999999996,21127.6,99512.0,0.40246000482353883,0.3852279122115925,0.21231208296486853,2005-11-01
SERC,2005,12,40049.6,38315.799999999996,21127.6,99493.0,0.40253686188978116,0.3851105102871558,0.2123526278230629,2005-12-01
SERC,2006,1,40015.1,38315.799999999996,21037.1,99368.0,0.40269603896626677,0.38559496014813616,0.21170900088559697,2006-01-01
SERC,2006,2,40223.2,38315.799999999996,21037.1,99576.1,0.4039443199723628,0.38478912108427615,0.21126655894336088,2006-02-01
SERC,2006,3,40223.2,38315.799999999996,21037.1,99576.1,0.4039443199723628,0.38478912108427615,0.21126655894336088,2006-03-01
SERC,2006,4,40223.2,38315.799999999996,21037.1,99576.1,0.4039443199723628,0.38478912108427615,0.21126655894336088,2006-04-01
SERC,2006,5,40223.2,38315.799999999996,20978.1,99517.1,0.4041838035875241,0.385017248292002,0.21079894812047373,2006-05-01
SERC,2006,6,40223.2,38315.799999999996,20978.1,99517.1,0.4041838035875241,0.385017248292002,0.21079894812047373,2006-06-01
SERC,2006,7,40443.2,38390.799999999996,20978.1,99812.1,0.40519335832028375,0.3846307211249938,0.21017592055472228,2006-07-01
SERC,2006,8,40713.2,38390.799999999996,20978.1,100082.1,0.4067980188265434,0.3835930700894565,0.209608911084,2006-08-01
SERC,2006,9,40713.2,38390.799999999996,20978.1,100082.1,0.4067980188265434,0.3835930700894565,0.209608911084,2006-09-01
SERC,2006,10,40713.2,38390.799999999996,20978.1,100082.1,0.4067980188265434,0.3835930700894565,0.209608911084,2006-10-01
SERC,2006,11,40701.2,38462.00000000001,20978.1,100141.30000000002,0.4064377035249192,0.38407729877682834,0.20948499769825232,2006-11-01
SERC,2006,12,40921.2,38147.00000000001,20998.6,100066.80000000002,0.40893882886231986,0.3812153481474375,0.20984582299024246,2006-12-01
SERC,2007,1,40921.2,37783.5,20819.699999999997,99524.4,0.41116751269035534,0.3796405705535527,0.20919191675609194,2007-01-01
SERC,2007,2,40921.2,37867.5,20819.699999999997,99608.4,0.4108207741515776,0.38016372113195274,0.20901550471646968,2007-02-01
SERC,2007,3,40921.2,37867.5,20819.699999999997,99608.4,0.4108207741515776,0.38016372113195274,0.20901550471646968,2007-03-01
SERC,2007,4,40921.2,37867.5,20819.699999999997,99608.4,0.4108207741515776,0.38016372113195274,0.20901550471646968,2007-04-01
SERC,2007,5,40921.2,37867.5,20819.699999999997,99608.4,0.4108207741515776,0.38016372113195274,0.20901550471646968,2007-05-01
SERC,2007,6,40921.2,37555.5,20819.699999999997,99296.4,0.41211161733960144,0.37821612868140236,0.2096722539789962,2007-06-01
SERC,2007,7,40921.2,37894.5,20819.699999999997,99635.4,0.4107094466424584,0.3803316893393312,0.20895886401821037,2007-07-01
SERC,2007,8,40921.2,37894.5,20819.699999999997,99635.4,0.4107094466424584,0.3803316893393312,0.20895886401821037,2007-08-01
SERC,2007,9,41350.2,37894.5,20819.699999999997,100064.4,0.4132358760957943,0.37870111648098626,0.20806300742321943,2007-09-01
SERC,2007,10,41350.2,37894.5,20742.7,99987.4,0.413554107817585,0.37899275308688896,0.20745313909552607,2007-10-01
SERC,2007,11,41350.2,37905.799999999996,20740.3,99996.3,0.4135173001401051,0.3790720256649496,0.2074106741949452,2007-11-01
SERC,2007,12,41350.2,37905.799999999996,20740.3,99996.3,0.4135173001401051,0.3790720256649496,0.2074106741949452,2007-12-01
SERC,2008,1,41350.2,37853.299999999996,20737.3,99940.8,0.4137469381874069,0.3787572242767718,0.20749583753582118,2008-01-01
SERC,2008,2,41350.2,37853.299999999996,20732.699999999997,99936.2,0.41376598269696063,0.37877465823195194,0.20745935907108734,2008-02-01
SERC,2008,3,41350.2,37853.299999999996,20732.699999999997,99936.2,0.41376598269696063,0.37877465823195194,0.20745935907108734,2008-03-01
SERC,2008,4,41350.2,37853.299999999996,20732.699999999997,99936.2,0.41376598269696063,0.37877465823195194,0.20745935907108734,2008-04-01
SERC,2008,5,41350.2,37853.299999999996,20732.699999999997,99936.2,0.41376598269696063,0.37877465823195194,0.20745935907108734,2008-05-01
SERC,2008,6,42008.4,37853.299999999996,20732.699999999997,100594.4,0.4176017750491081,0.3762962948235687,0.20610193012732317,2008-06-01
SERC,2008,7,42008.4,38174.299999999996,20732.699999999997,100915.4,0.4162734329943696,0.3782802228401215,0.20544634416550892,2008-07-01
SERC,2008,8,42008.4,38174.299999999996,20732.699999999997,100915.4,0.4162734329943696,0.3782802228401215,0.20544634416550892,2008-08-01
