year,nerc,month,type,generation (mwh),total fuel (mmbtu),elec fuel (mmbtu)
2016,WECC,10,OOG,-36856.70300000002,,
2016,WECC,10,OTH,42244.331999999995,,
2016,WECC,10,PC,0.0,0.0,0.0
2016,WECC,10,PEL,587.761442892472,7524.0,6179.0
2016,WECC,10,SUN,530389.1526594975,,
2016,WECC,10,WAS,234657.682,,
2016,WECC,10,WND,254887.73249965924,,
2016,WECC,10,WWW,206794.483,,
2016,WECC,11,COW,296129.13600000006,4647355.0,3364531.0
2016,WECC,11,GEO,541762.38,,
2016,WECC,11,HYC,2282949.5900000003,,
2016,WECC,11,NG,1861218.9483327272,24093465.356138073,14738034.966974687
2016,WECC,11,OOG,-33491.023000000016,,
2016,WECC,11,OTH,41810.33900000001,,
2016,WECC,11,PC,0.0,0.0,0.0
2016,WECC,11,PEL,481.17513271346485,6445.242875432304,5001.27487933747
2016,WECC,11,SUN,432117.51903300255,,
2016,WECC,11,WAS,230370.80800000002,,
2016,WECC,11,WND,239411.15621527983,,
2016,WECC,11,WWW,211736.76200000005,,
2016,WECC,12,COW,347526.3490000002,5331137.0,3947705.0
2016,WECC,12,GEO,591011.69,,
2016,WECC,12,HYC,2764451.65,,
2016,WECC,12,NG,1944842.4029123886,25213000.7041569,15105696.294457667
2016,WECC,12,OOG,-36352.39199999999,,
2016,WECC,12,OTH,41856.371,,
2016,WECC,12,PC,0.0,0.0,0.0
2016,WECC,12,PEL,2332.2562962042302,87509.81657651227,23424.953179200245
2016,WECC,12,SUN,343773.4361102935,,
2016,WECC,12,WAS,247692.09999999998,,
2016,WECC,12,WND,290206.679666816,,
2016,WECC,12,WWW,240493.04400000005,,
2016,RFC,1,COW,715076.867262664,11070278.90080871,8002476.867463782
2016,RFC,1,HYC,514634.71389749524,,
2016,RFC,1,NG,1241944.7073102621,16630314.916771153,10550428.154289179
2016,RFC,1,OOG,213185.25706089495,,
2016,RFC,1,OTH,53929.69575922299,,
2016,RFC,1,PEL,-155943.7906383293,-1035201.755750431,-1063472.315442249
2016,RFC,1,SUN,7934.3099999999995,,
2016,RFC,1,WAS,303165.5569272828,,
2016,RFC,1,WND,31762.79274883476,,
2016,RFC,1,WWW,73496.42213097762,,
2016,RFC,2,COW,611350.5853523199,9679526.578266367,6811379.9015019275
2016,RFC,2,HYC,434868.393626407,,
2016,RFC,2,NG,892191.8313215723,13716797.11036824,7975792.311650374
2016,RFC,2,OOG,131308.490740838,,
2016,RFC,2,OTH,48009.83766917672,,
2016,RFC,2,PC,24171.737999999994,1279859.0,146629.0
2016,RFC,2,PEL,-136082.4514450246,-870088.6317713474,-907247.2709219587
2016,RFC,2,SUN,15905.54,,
2016,RFC,2,WAS,231086.27247017607,,
2016,RFC,2,WND,33165.65332588404,,
2016,RFC,2,WWW,66571.25896579961,,
2016,RFC,3,COW,522752.63387488166,8568439.094766751,5792534.031222949
2016,RFC,3,HYC,412096.0887825763,,
2016,RFC,3,NG,958608.2360727465,14496501.520485083,8610519.316785906
2016,RFC,3,OOG,87427.49228326869,,
2016,RFC,3,OTH,51072.116536316855,,
2016,RFC,3,PC,14024.52599999999,1306661.0,73121.0
2016,RFC,3,PEL,-34145.6823114474,-267352.02500352316,-279273.5231059509
2016,RFC,3,SUN,17227.15,,
2016,RFC,3,WAS,242076.66371400544,,
2016,RFC,3,WND,33379.932257099965,,
2016,RFC,3,WWW,67994.26549892669,,
2016,RFC,4,COW,424978.23728825385,7268796.053195053,4883921.213078888
2016,RFC,4,HYC,405363.98785655835,,
2016,RFC,4,NG,940799.4297425192,13516386.85555399,8289087.062608314
2016,RFC,4,OOG,83270.98803530767,,
2016,RFC,4,OTH,51935.814420647395,,
2016,RFC,4,PC,30241.625000000015,1002983.0,183093.0
2016,RFC,4,PEL,-86126.49717158069,-631644.6754168329,-640272.921981788
2016,RFC,4,SUN,17559.14,,
2016,RFC,4,WAS,244542.3843465874,,
2016,RFC,4,WND,33582.279929933575,,
2016,RFC,4,WWW,56572.904495593626,,
2016,RFC,5,COW,501089.6531666392,7482689.65298158,5031276.910241218
2016,RFC,5,HYC,386955.7116211353,,
2016,RFC,5,NG,927404.1869580409,13357255.59968872,8316592.729122346
2016,RFC,5,OOG,36419.36300000002,,
2016,RFC,5,OTH,55633.90625994977,,
2016,RFC,5,PC,32699.542,1133197.0,198427.0
2016,RFC,5,PEL,6456.1723028101,90097.34955562315,80080.68852494357
2016,RFC,5,SUN,21694.44,,
2016,RFC,5,WAS,251525.83354048323,,
2016,RFC,5,WND,26927.80976068922,,
2016,RFC,5,WWW,60381.676459864124,,
2016,RFC,6,COW,584385.2825814381,8982255.021145632,6445280.0700777015
2016,RFC,6,HYC,455247.6662137857,,
2016,RFC,6,NG,1099787.9560265644,14872275.89291801,9679023.029889645
2016,RFC,6,OOG,71384.95500000002,,
2016,RFC,6,OTH,52279.62344786823,,
2016,RFC,6,PC,33092.58200000001,1173357.0,200707.0
2016,RFC,6,PEL,7543.2291564838715,108880.51263353224,93419.16893391026
2016,RFC,6,SUN,22141.38,,
2016,RFC,6,WAS,247025.64269894036,,
2016,RFC,6,WND,25158.92732051925,,
2016,RFC,6,WWW,66913.80636367443,,
2016,RFC,7,COW,671893.864799406,9786884.803227052,7277350.230405073
2016,RFC,7,HYC,480089.20047887985,,
2016,RFC,7,NG,1419408.0562132532,18890840.050866313,12923559.232527243
2016,RFC,7,OOG,54170.24800000001,,
2016,RFC,7,OTH,53381.84170600349,,
2016,RFC,7,PC,16176.104,1046778.0,84058.0
2016,RFC,7,PEL,12166.43050100435,186471.52651476703,156612.94107417247
2016,RFC,7,SUN,26056.93,,
2016,RFC,7,WAS,256343.52343059515,,
2016,RFC,7,WND,21385.660891655036,,
2016,RFC,7,WWW,72342.3479548661,,
2016,RFC,8,COW,674069.5701489942,9843665.817328582,7331537.215883973
2016,RFC,8,HYC,483944.54381571175,,
2016,RFC,8,NG,1516782.3058569885,19952223.33469902,13841036.005274087
2016,RFC,8,OOG,73578.28199999999,,
2016,RFC,8,OTH,53753.06832441185,,
2016,RFC,8,PC,16560.26999999999,1019009.0,86089.0
2016,RFC,8,PEL,20701.879870764158,302404.0043735714,265398.0079081649
2016,RFC,8,SUN,26244.71,,
2016,RFC,8,WAS,257461.0981431368,,
2016,RFC,8,WND,17825.676066224394,,
2016,RFC,8,WWW,68874.25912666491,,
2016,RFC,9,COW,545834.7789667009,8325351.500076985,6045853.05915029
2016,RFC,9,HYC,329374.5528942065,,
2016,RFC,9,NG,1095412.8345342595,15269054.743045505,9900998.887883473
2016,RFC,9,OOG,81073.01802236935,,
2016,RFC,9,OTH,51161.12448971161,,
2016,RFC,9,PC,33615.893000000004,972398.0,202878.0
2016,RFC,9,PEL,7467.0087681594405,98598.17253190902,87588.64844052933
2016,RFC,9,SUN,23651.16,,
2016,RFC,9,WAS,237948.79555940465,,
2016,RFC,9,WND,24798.45487565315,,
2016,RFC,9,WWW,66943.44555707854,,
2016,RFC,10,COW,449332.5577171282,7183261.032163577,4962152.124707889
2016,RFC,10,HYC,354483.10228681,,
2016,RFC,10,NG,797523.6836584641,12098765.078773232,7435320.348381707
2016,RFC,10,OOG,34428.135,,
2016,RFC,10,OTH,48712.439229528725,,
2016,RFC,10,PC,9258.161999999997,1430853.0,48473.0
2016,RFC,10,PEL,7196.112313489102,95895.34595620594,82561.43411945467
2016,RFC,10,SUN,19722.15,,
2016,RFC,10,WAS,225427.4296479777,,
2016,RFC,10,WND,28402.60808080843,,
2016,RFC,10,WWW,61467.73155910061,,
2016,RFC,11,COW,486070.7204223351,7553982.126395913,5428016.761035032
2016,RFC,11,HYC,299637.0023544993,,
2016,RFC,11,NG,805313.2628563601,12545649.955030764,7352345.69103461
2016,RFC,11,OOG,26952.904999999984,,
2016,RFC,11,OTH,47757.39701317497,,
2016,RFC,11,PC,12671.982999999993,904659.0,65839.0
2016,RFC,11,PEL,7346.606213675702,97122.42132873816,86868.40256513965
2016,RFC,11,SUN,16223.14,,
2016,RFC,11,WAS,238206.18892934552,,
2016,RFC,11,WND,30565.32386978695,,
2016,RFC,11,WWW,62092.16470119648,,
2016,RFC,12,COW,630512.5753753635,9467347.442604002,6948443.779047384
2016,RFC,12,HYC,381364.67994378915,,
2016,RFC,12,NG,846048.3812307485,13576002.050138084,8107928.20135644
2016,RFC,12,OOG,30272.096999999987,,
2016,RFC,12,OTH,51800.18836134079,,
2016,RFC,12,PC,14169.425999999992,1093151.0,73641.0
2016,RFC,12,PEL,11483.341198744114,166475.2870474408,140246.0255798897
2016,RFC,12,SUN,11554.4,,
2016,RFC,12,WAS,260854.468974149,,
2016,RFC,12,WND,37746.25076134302,,
2016,RFC,12,WWW,70233.86624171361,,
2016,MRO,1,COW,354930.85938038054,7307430.781916285,3904168.261916949
2016,MRO,1,HYC,130341.68665412601,,
2016,MRO,1,NG,153329.64555344405,3016401.9939843006,1556537.8570961
2016,MRO,1,OTH,22347.694387850846,,
2016,MRO,1,PEL,3441.0369142549375,24838.82496594804,19898.54879426585
2016,MRO,1,WAS,104592.07026105026,,
2016,MRO,1,WND,188527.03115258482,,
2016,MRO,1,WWW,100947.9788690224,,
2016,MRO,2,COW,287216.4509367218,6330156.075924765,3099651.7225274113
2016,MRO,2,HYC,124377.95369022715,,
2016,MRO,2,NG,150465.7884930102,2928176.6383001516,1573328.227650818
2016,MRO,2,OTH,19935.697417296353,,
2016,MRO,2,PEL,2561.2979091474585,24397.612028519045,17232.80785770538
2016,MRO,2,WAS,92855.22126504789,,
2016,MRO,2,WND,192461.4346951823,,
2016,MRO,2,WWW,94106.96303420035,,
